Player ID,Player Name,College
1641851,Timmy Allen,Texas
203648,Thanasis Antetokounmpo,Panathinaikos
1627853,Ryan Arcidiacono,Villanova
1628962,Udoka Azubuike,Kansas
1630641,Ibou Badji,FC Barcelona
1641735,Amari Bailey,UCLA
1628964,Mo Bamba,Texas
1628966,Keita Bates-Diop,Ohio State
1629647,Darius Bazley,Princeton HS (OH)
1631262,Jules Bernard,UCLA
202722,Dāvis Bertāns,Baskonia
201976,Patrick Beverley,Arkansas
1630180,Saddiq Bey,Villanova
1641931,Onuralp Bitim,Bursaspor
1641778,Leaky Black,North Carolina
1631205,Buddy Boeheim,Syracuse
202711,Bojan Bogdanovic,Fenerbahce
1629716,Marques Bolden,Duke
1630547,James Bouknight,Connecticut
1629052,Oshae Brissett,Syracuse
1631167,Izaiah Brockington,Iowa State
1629717,Armoni Brooks,Houston
1631112,Kendall Brown,Baylor
1629650,Moses Brown,UCLA
1630535,Greg Brown III,Texas
1629718,Charlie Brown Jr.,St. Joseph's (PA)
1628972,Troy Brown Jr.,Oregon
203493,Reggie Bullock Jr.,North Carolina
1630618,DJ Carton,Marquette
1630608,Malcolm Cazalon,Mega Basket
203496,Robert Covington,Tennessee State
1630622,Jalen Crutcher,University of Dayton
1631098,Johnny Davis,Wisconsin
1641926,Dexter Dennis,Texas A&M
1629603,Mamadi Diakite,Virginia
1628977,Hamidou Diallo,Kentucky
1630929,Henri Drell,Victoria Libertas
1630537,Chris Duarte,Oregon
1628981,Bruno Fernando,Maryland
1630201,Malachi Flynn,San Diego State
1630259,Jordan Ford,St. Mary's College
1630235,Trent Forrest,Florida State
203095,Evan Fournier,Poitiers Basket 86
1631241,Javon Freeman-Liberty,DePaul
1641788,Alex Fudge,Florida
1641847,Andrew Funk,Penn State
1629117,Wenyen Gabriel,Kentucky
201568,Danilo Gallinari,Olimpia Milano
1641945,Jaylin Galloway,Sydney Kings
1630586,Usman Garuba,Real Madrid
1629232,Kaiser Gates,Xavier
1628385,Harry Giles III,Duke
1631367,Jacob Gilyard,Richmond
1628984,Devonte' Graham,Kansas
1630564,RaiQuan Gray,Florida State
201980,Danny Green,North Carolina
1631100,AJ Griffin,Duke
1631338,Mouhamadou Gueye,Pittsburgh
1630204,Ashton Hagans,Kentucky
1630181,R.J. Hampton,Capital City Go-Go
203925,Joe Harris,Virginia
1630284,Kevon Harris,Stephen F. Austin
1627885,Shaquille Harrison,Tulsa
202330,Gordon Hayward,Butler
1630792,Malcolm Hill,Illinois
1630207,Nate Hinton,Houston
1641793,D'Moi Hodge,Missouri
203200,Justin Holiday,Washington
1627863,Danuel House Jr.,Texas A&M
1630562,Matt Hurt,Duke
1628382,Justin Jackson,North Carolina
202704,Reggie Jackson,Boston College
1630610,DeJon Jarreau,Houston
1641749,Keyontae Johnson,Kansas State
1627745,Damian Jones,Vanderbilt
1627788,Furkan Korkmaz,Anadolu Efes
1630240,Saben Lee,Vanderbilt
1630184,Kira Lewis Jr.,Alabama
1629642,Nassir Little,North Carolina
1630587,Isaiah Livers,Michigan
1631254,Kenneth Lofton Jr.,Louisiana Tech
201577,Robin Lopez,Stanford
1641754,Seth Lundy,Penn State
1630177,Theo Maledon,ASVEL
1626246,Boban Marjanovic,Crvena zvezda
202083,Wesley Matthews,Marquette
1630219,Skylar Mays,Louisiana State
1629667,Jalen McDaniels,San Diego State
201580,JaVale McGee,Nevada
1641877,Nathan Mensah,San Diego State
1629002,Chimezie Metu,USC
1630600,Isaiah Mobley,USC
1629875,Xavier Moon,Morehead State
202694,Marcus Morris Sr.,Kansas
203488,Mike Muscala,Bucknell
1630227,Daishen Nix,NBA G League Ignite
1641806,Markquis Nowell,Kansas State
1628373,Frank Ntilikina,Strasbourg IG
1629670,Jordan Nwora,Louisville
1630647,Eugene Omoruyi,Oregon
1626224,Cedi Osman,Anadolu Efes
1641970,Maozinha Pereira,                                   
1630196,Filip Petrusev,Gonzaga
1630197,Aleksej Pokusevski,Olympiacos
1629007,Jontay Porter,Missouri
203490,Otto Porter Jr.,Georgetown
1630554,Jason Preston,Ohio
1630563,Joshua Primo,Alabama
1630186,Jahmi'us Ramsey,Texas Tech
1629629,Cam Reddish,Duke
1626196,Josh Richardson,Tennessee
1629010,Jerome Robinson,Boston College
1631115,Orlando Robinson,Fresno State
201565,Derrick Rose,Memphis
1630346,Matt Ryan,Tennessee-Chattanooga
1629677,Luka Samanic,Union Olimpija
1631257,Jermaine Samuels Jr.,Villanova
1641766,Adama Sanogo,Connecticut
1630846,Olivier Sarr,Kentucky
1629678,Admiral Schofield,Tennessee
1631220,Dereon Seabron,North Carolina State
1628424,Kobi Simmons,Arizona
1630285,Zavier Simpson,Michigan
1631376,Dmytro Skapintsev,SK Cherkasy Monkey
1641771,Jalen Slawson,Furman
1630606,Javonte Smart,Louisiana State
202397,Ish Smith,Wake Forest
1631173,Terquavion Smith,North Carolina State
1628372,Dennis Smith Jr.,North Carolina State
1631306,Cole Swider,Syracuse
1628464,Daniel Theis,Brose Bamberg
202738,Isaiah Thomas,Washington
1629308,Juan Toscano-Anderson,Marquette
1628426,Sasha Vezenkov,"Barcelona, Spain"
1630688,Ish Wainright,Baylor
203933,T.J. Warren,North Carolina State
1630613,Duane Washington Jr.,Ohio State
1629139,Yuta Watanabe,George Washington
1631298,Jack White,Duke
1629623,Lindell Wigginton,Iowa State
