player_id,player_name,draft_year,draft_round,draft_number,draft_method_id
203648,Thanasis Antetokounmpo,2014,2,51,2
1628962,Udoka Azubuike,2020,1,27,1
1630641,Ibou Badji,Undrafted,Undrafted,Undrafted,4
1641735,Amari Bailey,2023,2,41,2
1628964,Mo Bamba,2018,1,6,1
1628966,Keita Bates-Diop,2018,2,48,2
1629647,Darius Bazley,2019,1,23,1
1631262,Jules Bernard,Undrafted,Undrafted,Undrafted,4
202722,Dāvis Bertāns,2011,2,42,2
201976,Patrick Beverley,2009,2,42,2
1630180,Saddiq Bey,2020,1,19,1
1641931,Onuralp Bitim,Undrafted,Undrafted,Undrafted,4
1641778,Leaky Black,Undrafted,Undrafted,Undrafted,4
1631205,Buddy Boeheim,Undrafted,Undrafted,Undrafted,4
202711,Bojan Bogdanovic,2011,2,31,2
1629716,Marques Bolden,2019,,,3
1629052,Oshae Brissett,Undrafted,Undrafted,Undrafted,4
1631112,Kendall Brown,2022,2,48,2
1629650,Moses Brown,Undrafted,Undrafted,Undrafted,4
1630535,Greg Brown III,2021,2,43,2
1629718,Charlie Brown Jr.,Undrafted,Undrafted,Undrafted,4
1628972,Troy Brown Jr.,2018,1,15,1
203493,Reggie Bullock Jr.,2013,1,25,1
1630618,DJ Carton,Undrafted,Undrafted,Undrafted,4
203496,Robert Covington,Undrafted,Undrafted,Undrafted,4
1631098,Johnny Davis,2022,1,10,1
1629603,Mamadi Diakite,Undrafted,Undrafted,Undrafted,4
1630929,Henri Drell,Undrafted,Undrafted,Undrafted,4
1630537,Chris Duarte,2021,1,13,1
1628981,Bruno Fernando,2019,2,34,2
1630201,Malachi Flynn,2020,1,29,1
1630259,Jordan Ford,Undrafted,Undrafted,Undrafted,4
1630235,Trent Forrest,Undrafted,Undrafted,Undrafted,4
203095,Evan Fournier,2012,1,20,1
1631241,Javon Freeman-Liberty,Undrafted,Undrafted,Undrafted,4
1641788,Alex Fudge,Undrafted,Undrafted,Undrafted,4
1641847,Andrew Funk,Undrafted,Undrafted,Undrafted,4
201568,Danilo Gallinari,2008,1,6,1
1641945,Jaylin Galloway,Undrafted,Undrafted,Undrafted,4
1630586,Usman Garuba,2021,1,23,1
1628385,Harry Giles III,2017,1,20,1
1631367,Jacob Gilyard,Undrafted,Undrafted,Undrafted,4
1628984,Devonte' Graham,2018,2,34,2
1630564,RaiQuan Gray,2021,2,59,2
1631100,AJ Griffin,2022,1,16,1
1631338,Mouhamadou Gueye,Undrafted,Undrafted,Undrafted,4
1630204,Ashton Hagans,Undrafted,Undrafted,Undrafted,4
1630284,Kevon Harris,Undrafted,Undrafted,Undrafted,4
202330,Gordon Hayward,2010,1,9,1
1630792,Malcolm Hill,Undrafted,Undrafted,Undrafted,4
1630207,Nate Hinton,Undrafted,Undrafted,Undrafted,4
203200,Justin Holiday,Undrafted,Undrafted,Undrafted,4
202704,Reggie Jackson,2011,1,24,1
1641749,Keyontae Johnson,2023,2,50,2
1627745,Damian Jones,2016,1,30,1
1630240,Saben Lee,2020,2,38,2
1630184,Kira Lewis Jr.,2020,1,13,1
1629642,Nassir Little,2019,1,25,1
