PERSON_ID,FULL_NAME,DRAFT_YEAR
1630173,Precious Achiuwa,2020.0
203500,Steven Adams,2013.0
1628389,Bam Adebayo,2017.0
1630534,Ochai Agbaji,2022.0
1630583,Santi Aldama,2021.0
1641725,Trey Alexander,
1629638,Nickeil Alexander-Walker,2019.0
1628960,Grayson Allen,2018.0
1628386,Jarrett Allen,2017.0
1630631,Jose Alvarado,
203937,Kyle Anderson,2014.0
203507,Giannis Antetokounmpo,2013.0
1630175,Cole Anthony,2020.0
1628384,OG Anunoby,2017.0
1630166,Deni Avdija,2020.0
1629028,Deandre Ayton,2018.0
1630542,Marcus Bagley,
1628963,Marvin Bagley III,2018.0
1631116,Patrick Baldwin Jr.,2022.0
1630163,LaMelo Ball,2020.0
1628366,Lonzo Ball,2017.0
1628964,Mo Bamba,2018.0
1631094,Paolo Banchero,2022.0
1630217,Desmond Bane,2020.0
1630625,Dalano Banton,2021.0
1631230,Dominick Barlow,
203084,Harrison Barnes,2012.0
1630567,Scottie Barnes,2021.0
1629628,RJ Barrett,2019.0
1629646,Charles Bassey,2021.0
1641734,Emoni Bates,2023.0
1642419,Jamison Battle,
201587,Nicolas Batum,2008.0
1641878,Damion Baugh,
203078,Bradley Beal,2012.0
1627736,Malik Beasley,2016.0
1630699,MarJon Beauchamp,2022.0
1641736,Reece Beekman,
1629048,Goga Bitadze,2019.0
202687,Bismack Biyombo,2011.0
1641710,Anthony Black,2023.0
203992,Bogdan Bogdanović,2014.0
1629626,Bol Bol,2019.0
1641737,Adem Bona,2024.0
1626164,Devin Booker,2015.0
1630527,Brandon Boston,2021.0
1628449,Chris Boucher,
1631123,Jamaree Bouyea,
1628396,Tony Bradley,2017.0
1631103,Malaki Branham,2022.0
1631128,Christian Braun,2022.0
1641779,Jalen Bridges,
1628969,Mikal Bridges,2018.0
1628970,Miles Bridges,2018.0
1629052,Oshae Brissett,
1627763,Malcolm Brogdon,2016.0
1628415,Dillon Brooks,2017.0
1631232,Keion Brooks Jr.,
1628971,Bruce Brown,2018.0
1627759,Jaylen Brown,2016.0
1641738,Kobe Brown,2023.0
1629650,Moses Brown,
1628973,Jalen Brunson,2018.0
1628418,Thomas Bryant,2017.0
1641723,Kobe Bufkin,2023.0
202692,Alec Burks,2011.0
1630215,Jared Butler,2021.0
202710,Jimmy Butler III,2011.0
1641824,Matas Buzelis,2024.0
1631288,Jamal Cain,
203484,Kentavious Caldwell-Pope,2013.0
1641739,Toumani Camara,2023.0
203991,Clint Capela,2014.0
1642382,Branden Carlson,
1642267,Bub Carrington,2024.0
1642269,Devin Carter,2024.0
1628975,Jevon Carter,2018.0
1628976,Wendell Carter Jr.,2018.0
1630618,DJ Carton,
1627936,Alex Caruso,
1642264,Stephon Castle,2024.0
1630658,Colin Castleton,
1630577,Julian Champagnie,
1630551,Justin Champagnie,
1642279,Ulrich Chomche,2024.0
1642353,Cam Christie,2024.0
1631108,Max Christie,2022.0
1630528,Josh Christopher,2021.0
1631321,Sidy Cissoko,2023.0
1641740,Jaylen Clark,2023.0
1629634,Brandon Clarke,2019.0
203903,Jordan Clarkson,2014.0
1629651,Nic Claxton,2019.0
1642270,Donovan Clingan,2024.0
1641730,Noah Clowney,2023.0
1629599,Amir Coffey,
1642268,Isaiah Collier,2024.0
1628381,John Collins,2017.0
1641879,Yuri Collins,
1628380,Zach Collins,2017.0
201144,Mike Conley,2007.0
1626192,Pat Connaughton,2015.0
1641731,Bilal Coulibaly,2023.0
1641741,Ricky Council IV,
1628470,Torrey Craig,
1642384,Isaiah Crawford,
203109,Jae Crowder,2012.0
1630595,Cade Cunningham,2021.0
203552,Seth Curry,
201939,Stephen Curry,2009.0
1642359,Pacôme Dadiet,2024.0
1630700,Dyson Daniels,2022.0
1642368,N'Faly Dante,
203076,Anthony Davis,2012.0
1631098,Johnny Davis,2022.0
1629056,Terence Davis,
1631120,JD Davison,2022.0
201942,DeMar DeRozan,2009.0
1642484,RayJ Dennis,
1628978,Donte DiVincenzo,2018.0
1631217,Moussa Diabaté,2022.0
1641711,Gradey Dick,2023.0
1631172,Ousmane Dieng,2022.0
1642265,Rob Dillingham,2024.0
203915,Spencer Dinwiddie,2014.0
1629029,Luka Dončić,2018.0
1629652,Luguentz Dort,
1630245,Ayo Dosunmu,2021.0
1630288,Jeff Dowtin Jr.,
1628408,PJ Dozier,
203083,Andre Drummond,2012.0
1630537,Chris Duarte,2021.0
1642505,Alex Ducas,
1630561,David Duke Jr.,
1627739,Kris Dunn,2016.0
1642346,Ryan Dunn,2024.0
201142,Kevin Durant,2007.0
1631105,Jalen Duren,2022.0
1631106,Tari Eason,2022.0
1641744,Zach Edey,2024.0
1630162,Anthony Edwards,2020.0
1642399,Jesse Edwards,
1642348,Justin Edwards,
1630556,Kessler Edwards,2021.0
1631165,Keon Ellis,
203954,Joel Embiid,2014.0
1630623,Tyson Etienne,
1629234,Drew Eubanks,
1641787,Tosan Evbuomwan,
203957,Danté Exum,2014.0
1628981,Bruno Fernando,2019.0
1642271,Kyle Filipowski,2024.0
1627827,Dorian Finney-Smith,
1641745,Adam Flagler,
1642280,Trentyn Flowers,
1630201,Malachi Flynn,2020.0
1631323,Simone Fontecchio,
1628368,De'Aaron Fox,2017.0
1642402,Enrique Freeman,2024.0
1628365,Markelle Fultz,2017.0
1642277,Johnny Furphy,2024.0
1629655,Daniel Gafford,2019.0
1629636,Darius Garland,2019.0
1630585,Marcus Garrett,
1630568,Luka Garza,2021.0
1641718,Keyonte George,2023.0
1642273,Kyshawn George,2024.0
202331,Paul George,2010.0
201959,Taj Gibson,2009.0
1630581,Josh Giddey,2021.0
1628983,Shai Gilgeous-Alexander,2018.0
1630264,Anthony Gill,
1631221,Collin Gillespie,
203497,Rudy Gobert,2013.0
1630692,Jordan Goodwin,
203932,Aaron Gordon,2014.0
201569,Eric Gordon,2008.0
1641789,Jazian Gortman,
203924,Jerami Grant,2014.0
1631260,AJ Green,
203110,Draymond Green,2012.0
1630224,Jalen Green,2021.0
1629750,Javonte Green,
201145,Jeff Green,2007.0
1630182,Josh Green,2020.0
1629656,Quentin Grimes,2021.0
1631243,Mouhamed Gueye,2023.0
1629060,Rui Hachimura,2019.0
1630169,Tyrese Haliburton,2020.0
1641790,PJ Hall,
203501,Tim Hardaway Jr.,2013.0
201935,James Harden,2009.0
1630702,Jaden Hardy,2022.0
1641989,Elijah Harkless,
1631199,Ron Harper Jr.,
203914,Gary Harris,2014.0
202699,Tobias Harris,2011.0
1628404,Josh Hart,2017.0
1628392,Isaiah Hartenstein,2017.0
1630573,Sam Hauser,
1641722,Jordan Hawkins,2023.0
1629637,Jaxson Hayes,2019.0
1630165,Killian Hayes,2020.0
1630703,Scoot Henderson,2023.0
1641707,Taylor Hendricks,2023.0
1629639,Tyler Herro,2019.0
1627741,Buddy Hield,2016.0
1629312,Haywood Highsmith,2018.0
1628988,Aaron Holiday,2018.0
201950,Jrue Holiday,2009.0
1641842,Ronald Holland II,2024.0
1626158,Richaun Holmes,2015.0
1631096,Chet Holmgren,2022.0
1641720,Jalen Hood-Schifino,2023.0
201143,Al Horford,2007.0
1629659,Talen Horton-Tucker,2019.0
1631216,Caleb Houstan,2022.0
1641724,Jett Howard,2023.0
1628989,Kevin Huerter,2018.0
1630643,Jay Huff,
1630574,Ariel Hukporti,2024.0
1629631,De'Andre Hunter,2019.0
1630538,Bones Hyland,2021.0
1642345,Oso Ighodaro,2024.0
204060,Joe Ingles,
1627742,Brandon Ingram,2016.0
