NICKNAME,NICKNAME_ID
A.J.,1
AJ,2
Aaron,3
Adam,4
Adama,5
Admiral,6
Al,7
Alec,8
Aleksej,9
Alex,10
Alondes,11
Alperen,12
Amari,13
Amen,14
Amir,15
Andre,16
Andrew,17
Anfernee,18
Anthony,19
Armoni,20
Ashton,21
Ausar,22
Austin,23
Ayo,24
Bam,25
Ben,26
Bennedict,27
Bilal,28
Bismack,29
Blake,30
Boban,31
Bobby,32
Bogdan,33
Bojan,34
Bol,35
Bones,36
Bradley,37
Brandin,38
Brandon,39
Braxton,40
Brice,41
Brook,42
Bruce,43
Bruno,44
Bryce,45
Buddy,46
CJ,47
Cade,48
Caleb,49
Cam,50
Cameron,51
Caris,52
Cason,53
Cedi,54
Charles,55
Charlie,56
Chet,57
Chimezie,58
Chris,59
Christian,60
Chuma,61
Clint,62
Coby,63
Cody,64
Colby,65
Cole,66
Colin,67
Collin,68
Corey,69
Cory,70
Craig,71
D'Angelo,72
D'Moi,73
D.J.,74
DaQuan,75
Daishen,76
Dalano,77
Dalen,78
Damian,79
Daniel,80
Danilo,81
Danny,82
Dantae,83
Danuel,84
Dario,85
Dariq,86
Darius,87
David,88
Davion,89
Day'Ron,90
De'Aaron,91
De'Andre,92
De'Anthony,93
DeAndre,94
DeJon,95
DeMar,96
Dean,97
Dejounte,98
Delon,99
Deni,100
Dennis,101
Dereck,102
Dereon,103
Derrick,104
Desmond,105
Devin,106
Devonte',107
Dexter,108
Dillon,109
Dmytro,110
Domantas,111
Dominick,112
Donovan,113
Donte,114
Dorian,115
Doug,116
Draymond,117
Drew,118
Dru,119
Duncan,120
Duop,121
Dwight,122
Dylan,123
Dyson,124
Davis,125
E.J.,126
Emoni,127
Eric,128
Eugene,129
Evan,130
Filip,131
Frank,132
Franz,133
Fred,134
Furkan,135
GG,136
Gabe,137
Garrett,138
Garrison,139
Gary,140
Georges,141
Giannis,142
Goga,143
Gordon,144
Gradey,145
Grant,146
Grayson,147
Greg,148
Gui,149
Hamidou,150
Harrison,151
Harry,152
Haywood,153
Henri,154
Herbert,155
Hunter,156
Ibou,157
Immanuel,158
Isaac,159
Isaiah,160
Ish,161
Ivica,162
Izaiah,163
JD,164
JT,165
Ja,166
JaVale,167
Jabari,168
Jack,169
Jacob,170
Jaden,171
Jae,172
Jae'Sean,173
Jahmi'us,174
Jaime,175
Jake,176
Jakob,177
