Player_ID,Name,School
1630173,Precious Achiuwa,Memphis
203500,Steven Adams,Pittsburgh
1628389,Bam Adebayo,Kentucky
1630534,Ochai Agbaji,Kansas
1630583,Santi Aldama,Loyola-Maryland
1629638,Nickeil Alexander-Walker,Virginia Tech
1628960,Grayson Allen,Duke
1628386,Jarrett Allen,Texas
1630631,Jose Alvarado,Georgia Tech
203937,Kyle Anderson,UCLA
203507,Giannis Antetokounmpo,Filathlitikos
203648,Thanasis Antetokounmpo,Panathinaikos
1630175,Cole Anthony,North Carolina
1628384,OG Anunoby,Indiana
1630166,Deni Avdija,Maccabi Tel Aviv
1629028,Deandre Ayton,Arizona
1628962,Udoka Azubuike,Kansas
1630641,Ibou Badji,FC Barcelona
1628963,Marvin Bagley III,Duke
1641735,Amari Bailey,UCLA
1631116,Patrick Baldwin Jr.,Wisconsin-Milwaukee
1630163,LaMelo Ball,Illawarra
1628366,Lonzo Ball,UCLA
1628964,Mo Bamba,Texas
1631094,Paolo Banchero,Duke
1630217,Desmond Bane,TCU
1630625,Dalano Banton,Nebraska
1631230,Dominick Barlow,Overtime Elite
203084,Harrison Barnes,North Carolina
1630567,Scottie Barnes,Florida State
1629628,RJ Barrett,Duke
1629646,Charles Bassey,Western Kentucky
1641734,Emoni Bates,Eastern Michigan
1628966,Keita Bates-Diop,Ohio State
201587,Nicolas Batum,Le Mans
1629647,Darius Bazley,Princeton HS (OH)
203078,Bradley Beal,Florida
1627736,Malik Beasley,Florida State
1630699,MarJon Beauchamp,NBA G League Ignite
1631262,Jules Bernard,UCLA
202722,Dāvis Bertāns,Baskonia
201976,Patrick Beverley,Arkansas
1630180,Saddiq Bey,Villanova
1629048,Goga Bitadze,Mega Basket
1641931,Onuralp Bitim,Bursaspor
202687,Bismack Biyombo,Baloncesto Fuenlabrada
1641710,Anthony Black,Arkansas
1641778,Leaky Black,North Carolina
1631205,Buddy Boeheim,Syracuse
202711,Bojan Bogdanovic,Fenerbahce
203992,Bogdan Bogdanović,Fenerbahce
1629626,Bol Bol,Oregon
1629716,Marques Bolden,Duke
1626164,Devin Booker,Kentucky
1630527,Brandon Boston,Kentucky
1628449,Chris Boucher,Oregon
1631123,Jamaree Bouyea,San Francisco
1631103,Malaki Branham,Ohio State
1631128,Christian Braun,Kansas
1628969,Mikal Bridges,Villanova
1628970,Miles Bridges,Michigan State
1629052,Oshae Brissett,Syracuse
1627763,Malcolm Brogdon,Virginia
1628415,Dillon Brooks,Oregon
1628971,Bruce Brown,Miami
1627759,Jaylen Brown,California
1631112,Kendall Brown,Baylor
1641738,Kobe Brown,Missouri
1629650,Moses Brown,UCLA
1630535,Greg Brown III,Texas
1629718,Charlie Brown Jr.,St. Joseph's (PA)
1628972,Troy Brown Jr.,Oregon
1628973,Jalen Brunson,Villanova
1628418,Thomas Bryant,Indiana
1641723,Kobe Bufkin,Michigan
203493,Reggie Bullock Jr.,North Carolina
202692,Alec Burks,Colorado
1630215,Jared Butler,Baylor
202710,Jimmy Butler III,Marquette
1631288,Jamal Cain,Oakland
203484,Kentavious Caldwell-Pope,Georgia
1641739,Toumani Camara,Dayton
203991,Clint Capela,Elan Chalon
1628975,Jevon Carter,West Virginia
1628976,Wendell Carter Jr.,Duke
1630618,DJ Carton,Marquette
1627936,Alex Caruso,Texas A&M
1630658,Colin Castleton,Florida
1630577,Julian Champagnie,St. John's
1630551,Justin Champagnie,Pittsburgh
1631108,Max Christie,Michigan State
1631321,Sidy Cissoko,NBA G League Ignite
1641740,Jaylen Clark,UCLA
1629634,Brandon Clarke,Gonzaga
203903,Jordan Clarkson,Missouri
1629651,Nic Claxton,Georgia
1641730,Noah Clowney,Alabama
1629599,Amir Coffey,Minnesota
1628381,John Collins,Wake Forest
1628380,Zach Collins,Gonzaga
201144,Mike Conley,Ohio State
1626192,Pat Connaughton,Notre Dame
1641731,Bilal Coulibaly,Metropolitans 92
1641741,Ricky Council IV,Arkansas
203496,Robert Covington,Tennessee State
1628470,Torrey Craig,South Carolina Upstate
203109,Jae Crowder,Marquette
1630595,Cade Cunningham,Oklahoma State
203552,Seth Curry,Duke
201939,Stephen Curry,Davidson
1630700,Dyson Daniels,NBA G League Ignite
203076,Anthony Davis,Kentucky
1631098,Johnny Davis,Wisconsin
1631120,JD Davison,Alabama
201942,DeMar DeRozan,Southern California
1628978,Donte DiVincenzo,Villanova
1631217,Moussa Diabaté,Michigan
1629603,Mamadi Diakite,Virginia
1641711,Gradey Dick,Kansas
1631172,Ousmane Dieng,New Zealand Breakers
203915,Spencer Dinwiddie,Colorado
1629029,Luka Dončić,Real Madrid
1629652,Luguentz Dort,Arizona State
1630245,Ayo Dosunmu,Illinois
1630288,Jeff Dowtin Jr.,Rhode Island
1630929,Henri Drell,Victoria Libertas
203083,Andre Drummond,Connecticut
1630537,Chris Duarte,Oregon
1630561,David Duke Jr.,Providence
1627739,Kris Dunn,Providence
201142,Kevin Durant,Texas
1631105,Jalen Duren,Memphis
1631106,Tari Eason,Louisiana State
1630162,Anthony Edwards,Georgia
1630556,Kessler Edwards,Pepperdine
1631165,Keon Ellis,Alabama
203954,Joel Embiid,Kansas
1629234,Drew Eubanks,Oregon State
1641787,Tosan Evbuomwan,Princeton
203957,Danté Exum,Australian Institute of Sport
1628981,Bruno Fernando,Maryland
1627827,Dorian Finney-Smith,Florida
1641745,Adam Flagler,Baylor
1630201,Malachi Flynn,San Diego State
1631323,Simone Fontecchio,Baskonia
1630259,Jordan Ford,St. Mary's College
1630235,Trent Forrest,Florida State
203095,Evan Fournier,Poitiers Basket 86
1628368,De'Aaron Fox,Kentucky
1631241,Javon Freeman-Liberty,DePaul
1641788,Alex Fudge,Florida
1628365,Markelle Fultz,Washington
1641847,Andrew Funk,Penn State
1629655,Daniel Gafford,Arkansas
201568,Danilo Gallinari,Olimpia Milano
1641945,Jaylin Galloway,Sydney Kings
1629636,Darius Garland,Vanderbilt
1630586,Usman Garuba,Real Madrid
1630568,Luka Garza,Iowa
1641718,Keyonte George,Baylor
202331,Paul George,Fresno State
201959,Taj Gibson,Southern California
1630581,Josh Giddey,NBA Global Academy
1628385,Harry Giles III,Duke
1628983,Shai Gilgeous-Alexander,Kentucky
1630264,Anthony Gill,Virginia
1631221,Collin Gillespie,Villanova
1631367,Jacob Gilyard,Richmond
203497,Rudy Gobert,Cholet
1630692,Jordan Goodwin,St. Louis
203932,Aaron Gordon,Arizona
201569,Eric Gordon,Indiana
1628984,Devonte' Graham,Kansas
203924,Jerami Grant,Syracuse
1630564,RaiQuan Gray,Florida State
1631260,AJ Green,Northern Iowa
203110,Draymond Green,Michigan State
1630224,Jalen Green,NBA G League Ignite
1629750,Javonte Green,Radford
201145,Jeff Green,Georgetown
1630182,Josh Green,Arizona
1631100,AJ Griffin,Duke
1629656,Quentin Grimes,Houston
1631338,Mouhamadou Gueye,Pittsburgh
1631243,Mouhamed Gueye,Washington State
1629060,Rui Hachimura,Gonzaga
1630204,Ashton Hagans,Kentucky
1630169,Tyrese Haliburton,Iowa State
203501,Tim Hardaway Jr.,Michigan
201935,James Harden,Arizona State
1630702,Jaden Hardy,NBA G League Ignite
203914,Gary Harris,Michigan State
1630284,Kevon Harris,Stephen F. Austin
202699,Tobias Harris,Tennessee
1628404,Josh Hart,Villanova
1628392,Isaiah Hartenstein,Zalgiris
1630573,Sam Hauser,Virginia
1641722,Jordan Hawkins,Connecticut
1629637,Jaxson Hayes,Texas
202330,Gordon Hayward,Butler
1630703,Scoot Henderson,NBA G League Ignite
1641707,Taylor Hendricks,Central Florida
1629639,Tyler Herro,Kentucky
1627741,Buddy Hield,Oklahoma
1629312,Haywood Highsmith,Wheeling Jesuit
1630792,Malcolm Hill,Illinois
1630207,Nate Hinton,Houston
1628988,Aaron Holiday,UCLA
201950,Jrue Holiday,UCLA
203200,Justin Holiday,Washington
1626158,Richaun Holmes,Bowling Green
1631096,Chet Holmgren,Gonzaga
1641720,Jalen Hood-Schifino,Indiana
201143,Al Horford,Florida
1629659,Talen Horton-Tucker,Iowa State
1631216,Caleb Houstan,Michigan
1641724,Jett Howard,Michigan
1628989,Kevin Huerter,Maryland
1630643,Jay Huff,Virginia
1629631,De'Andre Hunter,Virginia
1630538,Bones Hyland,Virginia Commonwealth
204060,Joe Ingles,Maccabi Tel Aviv
1627742,Brandon Ingram,Duke
202681,Kyrie Irving,Duke
1628371,Jonathan Isaac,Florida State
1631093,Jaden Ivey,Purdue
1641713,GG Jackson,South Carolina
1630543,Isaiah Jackson,Kentucky
1631245,Quenton Jackson,Texas A&M
202704,Reggie Jackson,Boston College
1641748,Andre Jackson Jr.,Connecticut
1628991,Jaren Jackson Jr.,Michigan State
1631218,Trayce Jackson-Davis,Indiana
2544,LeBron James,St. Vincent-St. Mary HS (OH)
1631170,Jaime Jaquez Jr.,UCLA
1629610,DaQuan Jeffries,Tulsa
1641998,Trey Jemison III,Alabama-Birmingham
1629660,Ty Jerome,Virginia
1630198,Isaiah Joe,Arkansas
1629661,Cameron Johnson,North Carolina
1630552,Jalen Johnson,Duke
201949,James Johnson,Wake Forest
1629640,Keldon Johnson,Kentucky
1630553,Keon Johnson,Tennessee
1641749,Keyontae Johnson,Kansas State
203999,Nikola Jokić,Mega Basket
1641732,Colby Jones,Xavier
1627745,Damian Jones,Vanderbilt
1630529,Herbert Jones,Alabama
1630539,Kai Jones,Texas
1630222,Mason Jones,Arkansas
1630200,Tre Jones,Duke
1626145,Tyus Jones,Duke
1627884,Derrick Jones Jr.,UNLV
201599,DeAndre Jordan,Texas A&M
1631107,Nikola Jović,Mega Basket
1630548,Johnny Juzang,UCLA
1628379,Luke Kennard,Duke
1631117,Walker Kessler,Auburn
1630296,Braxton Key,Virginia
1630557,Corey Kispert,Gonzaga
1628467,Maxi Kleber,Bayern Munich
1629723,John Konchar,Indiana-Purdue Fort Wayne
1628436,Luke Kornet,Vanderbilt
1630249,Vít Krejčí,Zaragoza
1630228,Jonathan Kuminga,NBA G League Ignite
1628398,Kyle Kuzma,Utah
1631222,Jake LaRavia,Wake Forest
203897,Zach LaVine,UCLA
1629111,Jock Landale,St. Mary's
1630639,A.J. Lawson,South Carolina
1627747,Caris LeVert,Michigan
1627814,Damion Lee,Drexel
1630240,Saben Lee,Vanderbilt
203458,Alex Len,Maryland
202695,Kawhi Leonard,San Diego State
1641721,Maxwell Lewis,Pepperdine
1630184,Kira Lewis Jr.,Alabama
1630604,E.J. Liddell,Ohio State
203081,Damian Lillard,Weber State
1629642,Nassir Little,North Carolina
1641726,Dereck Lively II,Duke
1641753,Chris Livingston,Kentucky
1631254,Kenneth Lofton Jr.,Louisiana Tech
1626172,Kevon Looney,UCLA
201572,Brook Lopez,Stanford
201567,Kevin Love,UCLA
200768,Kyle Lowry,Villanova
1641754,Seth Lundy,Penn State
1626168,Trey Lyles,Kentucky
1630572,Sandro Mamukelashvili,Seton Hall
1629611,Terance Mann,Florida State
1630544,Tre Mann,Florida
1626246,Boban Marjanovic,Crvena zvezda
1628374,Lauri Markkanen,Arizona
1630230,Naji Marshall,Xavier
1628997,Caleb Martin,Nevada
1628998,Cody Martin,Nevada
1641798,Jaylen Martin,Overtime Elite
1630231,KJ Martin,IMG Academy (FL)
1629726,Garrison Mathews,Lipscomb
1631097,Bennedict Mathurin,Arizona
202083,Wesley Matthews,Marquette
1630178,Tyrese Maxey,Kentucky
1630219,Skylar Mays,Louisiana State
1630540,Miles McBride,West Virginia
203468,CJ McCollum,Lehigh
204456,T.J. McConnell,Arizona
1630183,Jaden McDaniels,Washington
1629667,Jalen McDaniels,San Diego State
203926,Doug McDermott,Creighton
201580,JaVale McGee,Nevada
1631121,Bryce McGowens,Nebraska
1629162,Jordan McLaughlin,Southern California
1629001,De'Anthony Melton,USC
1630241,Sam Merrill,Utah State
1629002,Chimezie Metu,USC
203995,Vasilije Micic,Serbia
203114,Khris Middleton,Texas A&M
1641706,Brandon Miller,Alabama
1641757,Jordan Miller,Miami
1631159,Leonard Miller,NBA G League Ignite
201988,Patty Mills,St. Mary's
1629003,Shake Milton,Southern Methodist
1631303,Justin Minaya,Providence
1631169,Josh Minott,Memphis
1630558,Davion Mitchell,Baylor
1628378,Donovan Mitchell,Louisville
1630596,Evan Mobley,Southern California
1630600,Isaiah Mobley,USC
1628370,Malik Monk,Kentucky
1630541,Moses Moody,Arkansas
1629875,Xavier Moon,Morehead State
1631111,Wendell Moore Jr.,Duke
1629630,Ja Morant,Murray State
202693,Markieff Morris,Kansas
1628420,Monté Morris,Iowa State
202694,Marcus Morris Sr.,Kansas
1630530,Trey Murphy III,Virginia
1627749,Dejounte Murray,Washington
1627750,Jamal Murray,Kentucky
1631099,Keegan Murray,Iowa
1631200,Kris Murray,Iowa
203488,Mike Muscala,Bucknell
1629004,Svi Mykhailiuk,Kansas
1631250,Pete Nance,North Carolina
1626204,Larry Nance Jr.,Wyoming
1629614,Andrew Nembhard,Gonzaga
1630174,Aaron Nesmith,Vanderbilt
1627777,Georges Niang,Iowa State
1630227,Daishen Nix,NBA G League Ignite
1630192,Zeke Nnaji,Arizona
203994,Jusuf Nurkić,Cedevita
1629670,Jordan Nwora,Louisville
1626220,Royce O'Neale,Baylor
1629643,Chuma Okeke,Auburn
1629006,Josh Okogie,Georgia Tech
1630168,Onyeka Okongwu,Southern California
1630171,Isaac Okoro,Auburn
203482,Kelly Olynyk,Gonzaga
1630647,Eugene Omoruyi,Oregon
1626224,Cedi Osman,Anadolu Efes
1626162,Kelly Oubre Jr.,Kansas
101108,Chris Paul,Wake Forest
1626166,Cameron Payne,Murray State
1627780,Gary Payton II,Oregon State
1641809,Drew Peterson,Southern California
1641763,Julian Phillips,Tennessee
1629618,Jalen Pickett,Penn State
1630590,Scotty Pippen Jr.,Vanderbilt
203486,Mason Plumlee,Duke
1641764,Brandin Podziemski,Santa Clara
1627751,Jakob Poeltl,Utah
1630197,Aleksej Pokusevski,Olympiacos
1629673,Jordan Poole,Michigan
1641854,Craig Porter Jr.,Wichita State
1629008,Michael Porter Jr.,Missouri
1626171,Bobby Portis,Arkansas
204001,Kristaps Porziņģis,Cajasol Sevilla
1630695,Micah Potter,Wisconsin
203939,Dwight Powell,Stanford
1626181,Norman Powell,UCLA
1630554,Jason Preston,Ohio
1627752,Taurean Prince,Baylor
1630202,Payton Pritchard,Oregon
1641765,Olivier-Maxence Prosper,Marquette
1630243,Trevelin Queen,New Mexico State
1629674,Neemias Queta,Utah State
1630193,Immanuel Quickley,Kentucky
1631311,Lester Quinones,Memphis
203944,Julius Randle,Kentucky
1641871,Duop Reath,Louisiana State
1630559,Austin Reaves,Oklahoma
1629629,Cam Reddish,Duke
1630194,Paul Reed,DePaul
1629675,Naz Reid,Louisiana State
1631197,Jared Rhoden,Seton Hall
1630208,Nick Richards,Kentucky
1626196,Josh Richardson,Tennessee
1629130,Duncan Robinson,Michigan
1629010,Jerome Robinson,Boston College
1629011,Mitchell Robinson,Western Kentucky
1631115,Orlando Robinson,Fresno State
1630526,Jeremiah Robinson-Earl,Villanova
1631223,David Roddy,Colorado State
1631157,Ryan Rollins,Toledo
201565,Derrick Rose,Memphis
1626179,Terry Rozier,Louisville
1641712,Rayan Rupert,New Zealand Breakers
1626156,D'Angelo Russell,Ohio State
1630346,Matt Ryan,Tennessee-Chattanooga
1627734,Domantas Sabonis,Gonzaga
1629677,Luka Samanic,Union Olimpija
1631257,Jermaine Samuels Jr.,Villanova
1641766,Adama Sanogo,Connecticut
1630611,Gui Santos,Minas
1630846,Olivier Sarr,Kentucky
1631204,Marcus Sasser,Houston
1629678,Admiral Schofield,Tennessee
203471,Dennis Schröder,Braunschweig
1631220,Dereon Seabron,North Carolina State
1630578,Alperen Sengun,Besiktas
1641729,Brice Sensabaugh,Ohio State
1629012,Collin Sexton,Alabama
1629013,Landry Shamet,Wichita State
1630549,Day'Ron Sharpe,North Carolina
1631101,Shaedon Sharpe,Kentucky
1641767,Ben Sheppard,Belmont
1627783,Pascal Siakam,New Mexico State
1627732,Ben Simmons,Louisiana State
1629014,Anfernee Simons,Edgewater HS (FL)
1630579,Jericho Sims,Texas
1641771,Jalen Slawson,Furman
203935,Marcus Smart,Oklahoma State
1630188,Jalen Smith,Maryland
1631173,Terquavion Smith,North Carolina State
1628372,Dennis Smith Jr.,North Carolina State
1631095,Jabari Smith Jr.,Auburn
1641733,Nick Smith Jr.,Arkansas
1631110,Jeremy Sochan,Baylor
1630311,Pat Spencer,Northwestern
1630531,Jaden Springer,Tennessee
1630205,Lamar Stevens,Penn State
1630191,Isaiah Stewart,Washington
1631124,Julian Strawther,Gonzaga
1629622,Max Strus,DePaul
1630591,Jalen Suggs,Gonzaga
1631306,Cole Swider,Syracuse
1630256,Jae'Sean Tate,Ohio State
1628369,Jayson Tatum,Duke
202066,Garrett Temple,Louisiana State
1631207,Dalen Terry,Arizona
1628464,Daniel Theis,Brose Bamberg
1630560,Cam Thomas,Louisiana State
202738,Isaiah Thomas,Washington
1641708,Amen Thompson,Overtime Elite
1641709,Ausar Thompson,Overtime Elite
202691,Klay Thompson,Washington State
202684,Tristan Thompson,Texas-Austin
1630550,JT Thor,Auburn
1629680,Matisse Thybulle,Washington
1630214,Xavier Tillman,Michigan State
1631210,Jacob Toppin,Kentucky
1630167,Obi Toppin,Dayton
1626157,Karl-Anthony Towns,Kentucky
1629018,Gary Trent Jr.,Duke
1631131,Oscar Tshiebwe,Kentucky
200782,P.J. Tucker,Texas
1626167,Myles Turner,Texas
1641816,Hunter Tyson,Clemson
1630649,Stanley Umude,Arkansas/USA
202685,Jonas Valančiūnas,Lietuvos rytas Vilnius
1627832,Fred VanVleet,Wichita State
1629020,Jarred Vanderbilt,Kentucky
1630170,Devin Vassell,Florida State
1628426,Sasha Vezenkov,"Barcelona, Spain"
1629216,Gabe Vincent,California-Santa Barbara
1641774,Tristan Vukcevic,Real Madrid
202696,Nikola Vučević,Southern California
1629731,Dean Wade,Kansas State
1630532,Franz Wagner,Michigan
1629021,Moritz Wagner,Michigan
1630688,Ish Wainright,Baylor
1631133,Jabari Walker,Colorado
1641716,Jarace Walker,Houston
1629022,Lonnie Walker IV,Miami
1641717,Cason Wallace,Kentucky
1641775,Jordan Walsh,Arkansas
203933,T.J. Warren,North Carolina State
1629023,P.J. Washington,Kentucky
1630613,Duane Washington Jr.,Ohio State
1631102,TyTy Washington Jr.,Kentucky
1629139,Yuta Watanabe,George Washington
1630322,Lindy Waters III,Oklahoma State
1630570,Trendon Watford,Louisiana State
1631212,Peyton Watson,UCLA
1641705,Victor Wembanyama,Metropolitans 92
1631104,Blake Wesley,Notre Dame
201566,Russell Westbrook,UCLA
1629632,Coby White,North Carolina
1628401,Derrick White,Colorado
1641727,Dariq Whitehead,Duke
1641715,Cam Whitmore,Villanova
1630598,Aaron Wiggins,Maryland
203952,Andrew Wiggins,Kansas
1631214,Alondes Williams,Wake Forest
1630314,Brandon Williams,Arizona
1629684,Grant Williams,Tennessee
1631114,Jalen Williams,Santa Clara
1631119,Jaylin Williams,Arkansas
1629026,Kenrich Williams,TCU
1642013,Malik Williams,Louisville
1631109,Mark Williams,Duke
1631466,Nate Williams,Buffalo
1630172,Patrick Williams,Florida State
1630533,Ziaire Williams,Stanford
